S.no.,Category,State/UT,,Clean energy,Sustainable cities
1,State,Andhra Pradesh,,100,78
2,State,Arunachal Pradesh,,85,39
3,State,Assam,,98,55
4,State,Bihar,,78,67
5,State,Chhattisgarh,,78,78
6,State,Goa,,100,89
7,State,Gujarat,,94,87
8,State,Haryana,,100,81
9,State,Himachal Pradesh,,100,79
10,State,Jharkhand,,77,71
11,State,Karnataka,,100,78
12,State,Kerala,,100,75
13,State,Madhya Pradesh,,86,81
14,State,Maharashtra,,100,87
15,State,Manipur,,96,65
16,State,Meghalaya,,50,51
17,State,Mizoram,,100,61
18,State,Nagaland,,69,48
19,State,Odisha,,80,70
20,State,Punjab,,100,91
21,State,Rajasthan,,100,81
22,State,Sikkim,,100,85
23,State,Tamil Nadu,,100,79
24,State,Telangana,,100,76
25,State,Tripura,,83,67
26,State,Uttar Pradesh,,100,77
27,State,Uttarakhand,,100,76
28,State,West Bengal,,98,45
29,Union Territory,Andaman and Nicobar Islands,,100,85
30,Union Territory,Chandigarh,,100,98
31,Union Territory,Dadra and Nagar Haveli and Daman and Diu,,71,89
32,Union Territory,Delhi,,100,65
33,Union Territory,Jammu and Kashmir,,100,57
34,Union Territory,Ladakh ,,100,57
35,Union Territory,Lakshadweep,,83,56
36,Union Territory,Puducherry,,98,76
