S.no.,Category,State/UT,,Education,Gender Equality
1,State,Andhra Pradesh,,50,58
2,State,Arunachal Pradesh,,41,37
3,State,Assam,,43,25
4,State,Bihar,,29,48
5,State,Chhattisgarh,,55,64
6,State,Goa,,71,55
7,State,Gujarat,,52,49
8,State,Haryana,,64,43
9,State,Himachal Pradesh,,74,62
10,State,Jharkhand,,45,51
11,State,Karnataka,,64,57
12,State,Kerala,,80,63
13,State,Madhya Pradesh,,45,55
14,State,Maharashtra,,64,51
15,State,Manipur,,63,41
16,State,Meghalaya,,48,51
17,State,Mizoram,,60,54
18,State,Nagaland,,39,48
19,State,Odisha,,45,46
20,State,Punjab,,60,45
21,State,Rajasthan,,60,39
22,State,Sikkim,,58,58
23,State,Tamil Nadu,,69,59
24,State,Telangana,,63,41
25,State,Tripura,,42,39
26,State,Uttar Pradesh,,51,50
27,State,Uttarakhand,,70,46
28,State,West Bengal,,54,41
29,Union Territory,Andaman and Nicobar Islands,,57,68
30,Union Territory,Chandigarh,,79,58
31,Union Territory,Dadra and Nagar Haveli and Daman and Diu,,56,53
32,Union Territory,Delhi,,75,33
33,Union Territory,Jammu and Kashmir,,49,46
34,Union Territory,Ladakh ,,49,46
35,Union Territory,Lakshadweep,,62,58
36,Union Territory,Puducherry,,70,66
,,,,,50.11111111
