State/UT,Health,Clean water and sanitation
Andhra Pradesh,77,92
Arunachal Pradesh,64,67
Assam,59,64
Bihar,66,91
Chhattisgarh,60,89
Goa,72,100
Gujarat,86,93
Haryana,72,80
Himachal Pradesh,78,85
Jharkhand,74,83
Karnataka,78,85
Kerala,72,89
Madhya Pradesh,62,88
Maharashtra,83,90
Manipur,68,87
Meghalaya,70,75
Mizoram,79,85
Nagaland,61,87
Odisha,67,86
Punjab,77,66
Rajasthan,70,54
Sikkim,62,89
Tamil Nadu,81,87
Telangana,67,96
Tripura,67,82
Uttar Pradesh,60,83
Uttarakhand,77,85
West Bengal,76,81
Andaman and Nicobar Islands,68,87
Chandigarh,74,99
Dadra and Nagar Haveli and Daman and Diu,80,95
Delhi,90,61
Jammu and Kashmir,70,88
Ladakh ,70,84
Lakshadweep,78,100
Puducherry,70,91
